"SupSonicSweep2_BEAVS_012726: Design Number","SupSonicSweep2_BEAVS_012726: BEAVSExtension (mm)","SupSonicSweep2_BEAVS_012726: BEAVSPosition (m)","SupSonicSweep2_BEAVS_012726: FreestreamAltitude (ft)","SupSonicSweep2_BEAVS_012726: FreestreamMach","SupSonicSweep2_BEAVS_012726: FreestreamTemperature (C)","SupSonicSweep2_BEAVS_012726: NumSteps","SupSonicSweep2_BEAVS_012726: Cell Count","SupSonicSweep2_BEAVS_012726: Center of Loads (m)","SupSonicSweep2_BEAVS_012726: Drag BEAVS (N)","SupSonicSweep2_BEAVS_012726: Drag Center Body (N)","SupSonicSweep2_BEAVS_012726: Drag Coefficient","SupSonicSweep2_BEAVS_012726: Drag Fins (N)","SupSonicSweep2_BEAVS_012726: Drag Nose (N)","SupSonicSweep2_BEAVS_012726: Drag of all external components (N)","SupSonicSweep2_BEAVS_012726: Drag Tail & Base (N)","SupSonicSweep2_BEAVS_012726: Total Solver CPU Time (s)","SupSonicSweep2_BEAVS_012726: Total Solver Elapsed Time (s)"
28.0,15.0,1.4,3600.0,0.37,7.0,470.0,1246430.0,-0.70767834720523,5.647061529470207,9.268184112593575,0.8447225214417855,5.238332822187278,-127.18762357718373,38.78443963591209,145.81848474884475,13900.196945999995,1758.1743701869993
29.0,15.0,1.4,3600.0,0.38,7.0,470.0,1246633.0,-0.7082634315547595,6.006771493141411,9.777446544314405,0.8500275296001959,5.514422381907469,-127.00129118618948,41.166142844636724,146.86879361146293,13607.911164999981,1714.639874326001
30.0,15.0,1.4,3600.0,0.39,7.0,470.0,1246840.0,-0.708885275120283,6.4353948299502095,10.387295881133578,0.8533469844022359,5.799374646432492,-126.80695555554574,43.53062149349809,147.71551169152758,17566.31485800001,2290.1153884300015
31.0,15.0,1.4,3600.0,0.4,7.0,470.0,1246852.0,-0.7095119066538629,6.9157095383083735,11.105295971162583,0.8663396988461014,6.106197192229034,-126.60421997201495,46.4887861646403,148.9658034349552,15301.56063699998,1936.775263754001
32.0,15.0,1.4,3600.0,0.41,7.0,470.0,1247116.0,-0.7101628396415853,7.260142607918483,11.583742460417366,0.8633284752579986,6.380460225068408,-126.3908611519532,48.67251399514688,149.83902985369582,14299.302894000015,1809.5691848569995
33.0,15.0,1.4,3600.0,0.42,7.0,470.0,1247231.0,-0.7108472268203444,7.603547376625307,11.999305416809566,0.859309581359254,6.661337375695926,-126.16715750207733,50.83797412029186,150.7409414532384,20454.058642000004,2725.258941854999
34.0,15.0,1.4,3600.0,0.43,7.0,470.0,1247448.0,-0.7115529229697662,7.951881665933858,12.475715098756346,0.855961570232852,6.949017414624635,-125.93551463449991,53.08003018649656,151.63893064168158,18632.440740999966,2437.474426546004
35.0,15.0,1.4,3600.0,0.4400000000000001,7.0,470.0,1247580.0,-0.7123113045013216,8.31830251279076,12.94806993907371,0.8502309902041664,7.240591567716672,-125.69589482219536,55.205491966678736,152.394422769293,14153.631516,1783.0557858180027
36.0,15.0,1.4,3600.0,0.4500000000000001,7.0,470.0,1247662.0,-0.71305004424574,8.820883762893775,13.660051191519083,0.8565516764474062,7.561578364491044,-125.45192922647968,58.172616400532604,153.58203230810838,13814.424171999983,1746.841381468
37.0,15.0,1.4,3600.0,0.46,7.0,470.0,1247854.0,-0.7138461719680262,8.995760074747066,13.801368142891706,0.8395448827832392,7.832865381474543,-125.19600935877011,59.5798752161152,154.145890975772,18579.83678700002,2456.545088703999
38.0,15.0,1.4,3600.0,0.47,7.0,470.0,1248042.0,-0.7146285854927655,9.735956666944366,14.80978036848874,0.8566722070373262,8.20313263185735,-124.9403861369222,63.4673505167739,155.65886698640563,17091.765012000003,2217.8429714209983
